TITLE = "B00007"
VARIABLES = "x", "y", "Vx", "Vy", "isValid"
ZONE T="Frame 0", I=51, J=39, F=POINT
-25.4126843214 36.5751847029 10.1689370354 0.2277438097 1
-21.612652421 36.5751847029 10.1765279189 0.3937019796 1
-17.8126205206 36.5751847029 9.9045427535 0.312913964 1
-14.0125886202 36.5751847029 10.2011345876 0.3074244937 1
-10.2125567198 36.5751847029 10.2231679687 0.4078267484 1
-6.4125248194 36.5751847029 0 -0 0
-2.612492919 36.5751847029 0 -0 0
1.1875389814 36.5751847029 0 -0 0
4.9875708818 36.5751847029 0 -0 0
8.7876027822 36.5751847029 0 -0 0
12.5876346827 36.5751847029 0 -0 0
16.3876665831 36.5751847029 10.4510769344 0.2651775931 1
20.1876984835 36.5751847029 10.6211026602 0.2026479648 1
23.9877303839 36.5751847029 10.3737587675 0.1120858609 1
27.7877622843 36.5751847029 10.51838193 0.1614564896 1
31.5877941847 36.5751847029 10.4498689364 0.4183872939 1
35.3878260851 36.5751847029 10.4976981092 0.3409904812 1
39.1878579855 36.5751847029 10.5793889775 0.4114774821 1
42.9878898859 36.5751847029 10.4464808794 0.0573987824 1
46.7879217863 36.5751847029 10.4440082583 0.0476011003 1
50.5879536867 36.5751847029 10.4703451325 0.2072345824 1
54.3879855871 36.5751847029 10.5629992122 0.2078134148 1
58.1880174875 36.5751847029 10.6512617157 0.0293725985 1
61.9880493879 36.5751847029 10.4621942915 0.0063970418 1
65.7880812883 36.5751847029 10.6155156692 -0.0930488812 1
69.5881131887 36.5751847029 10.5085291959 -0.1798265537 1
73.3881450891 36.5751847029 10.4930580126 -0.2530063836 1
77.1881769896 36.5751847029 10.4609988768 0.0812331502 1
80.98820889 36.5751847029 10.3578754806 -0.1915699306 1
84.7882407904 36.5751847029 10.3496931813 -0.1563948519 1
88.5882726908 36.5751847029 0 -0 0
92.3883045912 36.5751847029 0 -0 0
96.1883364916 36.5751847029 0 -0 0
99.988368392 36.5751847029 0 -0 0
103.7884002924 36.5751847029 10.2647746933 -0.1841740884 1
107.5884321928 36.5751847029 10.1551834742 -0.2090701732 1
111.3884640932 36.5751847029 10.1863806531 -0.1655271913 1
115.1884959936 36.5751847029 10.2313785805 -0.1195776509 1
118.988527894 36.5751847029 10.1994075279 -0.149030468 1
122.7885597944 36.5751847029 10.1005624581 -0.0967829793 1
126.5885916948 36.5751847029 10.1528649988 -0.1745966142 1
130.3886235952 36.5751847029 10.1701733459 -0.0310760645 1
134.1886554956 36.5751847029 9.9917797169 -0.056197076 1
137.988687396 36.5751847029 10.1679114953 0.0452197083 1
141.7887192965 36.5751847029 10.1130262297 -0.0198360201 1
145.5887511969 36.5751847029 10.2792046075 0.070375324 1
149.3887830973 36.5751847029 9.9485843491 -0.1161439793 1
153.1888149977 36.5751847029 10.2363615724 0.0737445061 1
156.9888468981 36.5751847029 10.2854364933 0.0819189408 1
160.7888787985 36.5751847029 10.2946820825 0.0606012356 1
164.5889106989 36.5751847029 0 -0 0
-25.4126843214 32.7751528025 10.0746408333 0.4173995038 1
-21.612652421 32.7751528025 10.142622182 0.396863537 1
-17.8126205206 32.7751528025 10.0473256065 0.3235248427 1
-14.0125886202 32.7751528025 10.1104592338 0.4370625034 1
-10.2125567198 32.7751528025 10.1065426777 0.4730271849 1
-6.4125248194 32.7751528025 0 -0 0
-2.612492919 32.7751528025 0 -0 0
1.1875389814 32.7751528025 0 -0 0
4.9875708818 32.7751528025 0 -0 0
8.7876027822 32.7751528025 0 -0 0
12.5876346827 32.7751528025 0 -0 0
16.3876665831 32.7751528025 10.5591644476 0.6078164884 1
20.1876984835 32.7751528025 10.6396599011 0.2334660713 1
23.9877303839 32.7751528025 10.6854820355 0.4182158463 1
27.7877622843 32.7751528025 10.602020066 0.3084280129 1
31.5877941847 32.7751528025 10.3585927294 0.1289915419 1
35.3878260851 32.7751528025 10.5730941751 0.2556441606 1
39.1878579855 32.7751528025 10.6042567499 0.0270305293 1
42.9878898859 32.7751528025 10.6773091737 0.3745674792 1
46.7879217863 32.7751528025 10.5662740195 -0.0090835791 1
50.5879536867 32.7751528025 10.5490977972 0.0367023783 1
54.3879855871 32.7751528025 10.3768290959 0.1205292639 1
58.1880174875 32.7751528025 10.6273628584 0.0692868674 1
61.9880493879 32.7751528025 10.5535868941 -0.1354294795 1
65.7880812883 32.7751528025 10.6638009872 -0.2144149354 1
69.5881131887 32.7751528025 10.5849130519 -0.1879427906 1
73.3881450891 32.7751528025 10.4185836744 -0.2075932068 1
77.1881769896 32.7751528025 10.4772030381 -0.1559308422 1
80.98820889 32.7751528025 10.4745605424 -0.1869156777 1
84.7882407904 32.7751528025 10.3915673013 -0.2374266691 1
88.5882726908 32.7751528025 10.3495358899 -0.1222547507 1
92.3883045912 32.7751528025 0 -0 0
96.1883364916 32.7751528025 0 -0 0
99.988368392 32.7751528025 0 -0 0
103.7884002924 32.7751528025 10.3006528646 -0.1846506813 1
107.5884321928 32.7751528025 10.2023394398 -0.2240899302 1
111.3884640932 32.7751528025 10.2571334764 -0.2176063782 1
115.1884959936 32.7751528025 10.3127926158 -0.2231713484 1
118.988527894 32.7751528025 10.3053118362 -0.2440124606 1
122.7885597944 32.7751528025 10.1910647913 -0.2003279165 1
126.5885916948 32.7751528025 10.1755652955 -0.0504244812 1
130.3886235952 32.7751528025 10.2462143065 -0.0830420015 1
134.1886554956 32.7751528025 10.2513671732 -0.0223180786 1
137.988687396 32.7751528025 10.1408384973 -0.0360181607 1
141.7887192965 32.7751528025 10.1929271217 0.0235858474 1
